"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","sim_ticks","num_cycles","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"freqmine","8MB","8","LRU","2","2","1332523374000","2665047252","36.7801","1.06368","1.39886","3.72802","104.583","33.14","0.746394","0.0544002","0.1449792","90.45400000000001","0.6465275","1449665","0.999991","0.9999960000000001","50963960"
"streamcluster","256kB","8","LRU","2","2","399404442000","796912550","4.79021","0.350435","1.53898","1.22643","5.32308","1.150172","0.033152","0.02010364","0.016020819999999998","0.959027","0.6707475","16430181","0.9906565","0.9869955","29207492"
"streamcluster","512kB","8","LRU","2","2","399492770000","798865896","6.0373","0.392398","1.53614","1.22717","6.36364","2.39726","0.0751148","0.01899009","0.01517054","1.990264","0.18697550000000002","2723508","0.986661","0.9903215","8916521"
"streamcluster","1MB","8","LRU","2","2","402549206500","804725388","8.53152","0.480438","1.5359","1.23598","8.48813","4.89148","0.1631548","0.0244157","0.01964792","4.0872399999999995","0.093012","29462","0.999992","0.9999935","5073159"
"streamcluster","2MB","8","LRU","2","2","400686996500","800819416","12.0949","0.525901","1.55172","1.24265","11.3496","8.45484","0.208618","0.036757399999999996","0.029436","6.9673","0.0926815","21444","0.999995","0.9999994999999999","5053004"
"streamcluster","4MB","8","LRU","2","2","400686996500","800819416","20.6516","0.728504","1.56743","1.25523","18.3768","17.01154","0.41122","0.052464399999999994","0.042014499999999996","13.9945","0.09264649999999999","14107","0.9999975","1.0","5047408"
"streamcluster","8MB","8","LRU","2","2","400686996500","800819416","36.7801","1.06368","1.59021","1.27347","31.5795","33.14","0.746394","0.0752477","0.0602597","27.1972","0.092637","8102","0.9999975","1.0","5042276"
"swaptions","256kB","8","LRU","2","2","163110020500","326220042","4.79021","0.350435","1.81275","0.591355","2.26834","1.150172","0.033152","0.00397765","0.00129759","0.387321","0.0228125","19392","0.992642","0.999214","174831"
"swaptions","512kB","8","LRU","2","2","163058319500","325677194","6.0373","0.392398","1.81581","0.591369","2.68538","2.39726","0.0751148","0.00580054","0.0018891049999999999","0.8070839999999999","0.022057","12643","0.9999165","0.999967","144075"
"swaptions","1MB","8","LRU","2","2","163058319500","325677194","8.53152","0.480438","1.81887","0.592366","3.52736","4.89148","0.1631548","0.00886055","0.00288568","1.649065","0.021270999999999998","8484","0.9997265","0.9997659999999999","140529"
